symbol,date,price,ensemble_probability,gradient_boosting_prob,random_forest_prob,logistic_regression_prob,rsi,macd,volume_ratio,trend_strength
NBCC,2019-03-14,40.239036560058594,0.47458354021955595,0.28862879274003245,0.6742175757826088,0.6400193555737854,80.00008453645141,1.0704329162138322,2.373842534370639,0.14075501797656545
RECLTD,2019-03-14,64.9773941040039,0.46949220616839565,0.30387800580704266,0.6999009899458446,0.5379145314056046,85.92426207821418,2.5669611279797735,0.8787544767510692,0.16804315304302486
MANAPPURAM,2019-03-14,104.58006286621094,0.46582024607687206,0.3171992158064702,0.6623143326661612,0.5426316918689431,65.59148023291453,3.956994488979305,1.3240004799716734,0.14153901082173237
TRIDENT,2019-03-14,6.104543685913086,0.4465199250402666,0.28256277599855034,0.6783209043530937,0.5087113286753165,76.01080226497953,0.13212367811143988,1.8366746787303594,0.0842768186949636
USHAMART,2019-03-14,32.89809036254883,0.44612689029700603,0.26123171021217817,0.6265698236906209,0.6377004404186535,50.0,0.7577715051816014,0.6939599085211238,0.03515561723267302
APLAPOLLO,2019-03-14,134.3890380859375,0.44134266303531633,0.25609662283497764,0.5926826910689282,0.6774477214857454,80.30846691557534,6.905539155864545,0.3887972628672694,0.1680587736164295
ORIENTCEM,2019-03-14,80.97435760498047,0.4328212347378988,0.21997587712398115,0.6236445999408224,0.6786995809683073,76.96790272381136,4.083895769321558,0.7879949427040479,0.16808628507421847
SAIL,2019-03-14,44.58668518066406,0.4153705272165876,0.20691471917377585,0.6373072143053264,0.6036050166905089,62.847235920972444,1.3627128724618345,0.9052124814365854,0.06147286665966046
SJVN,2019-03-14,17.500246047973633,0.41484691727985734,0.24773866342982953,0.6251446449211501,0.5171709604429878,44.89795260617683,0.03762092652761595,0.2113866663315725,0.003236818640974493
HUDCO,2019-03-14,31.30904006958008,0.412865033282303,0.20867425727094815,0.657771220315394,0.5559826927610537,68.16724931276332,0.8287060290863728,0.5222188905042815,0.06198273144343963
YESBANK,2019-03-14,246.46908569335935,0.4101766033536096,0.15319251222101105,0.5573764842768348,0.8318370098002682,84.70000702251744,10.654711184229228,0.9784491099658059,0.21064850538885546
IOC,2019-03-14,66.8099594116211,0.4089289995311668,0.20157911355979752,0.6277115780159357,0.5991298467324369,71.83409778170262,2.0399781279805964,0.717886004546508,0.09707396271339021
BEL,2019-03-14,27.143075942993164,0.40639294578021745,0.22899441170021217,0.6095391347638861,0.5451699975047275,76.55980799100921,0.8617251557880756,1.0993866690789516,0.10171180000627607
VARDHACRLC,2019-03-14,23.772066116333008,0.40466655843477795,0.21178581516326692,0.6025081853636113,0.5901059762203056,63.124985388495446,0.2650682372439057,4.795001823722512,0.006253149049977078
IDFCFIRSTB,2019-03-14,50.43492126464844,0.40236102832512655,0.2092362108526248,0.6088308361141778,0.5754683603228041,71.53845361234472,1.358835353389935,1.0714176996334681,0.0962821467022422
